CustomerID,Gender,Age,income,spending_score,Gender_encoded,KMeans_Cluster,DBSCAN_Cluster
139,Male,19,74,10,1,1,-1
140,Female,35,74,72,0,0,7
141,Female,57,75,5,0,2,-1
142,Male,32,75,93,1,0,8
143,Female,28,76,40,0,1,-1
144,Female,32,76,87,0,0,7
145,Male,25,77,12,1,1,-1
146,Male,28,77,97,1,0,-1
147,Male,48,77,36,1,4,-1
148,Female,32,77,74,0,0,7
149,Female,34,78,22,0,1,-1
150,Male,34,78,90,1,0,8
151,Male,43,78,17,1,1,-1
152,Male,39,78,88,1,0,8
153,Female,44,78,20,0,1,-1
154,Female,38,78,76,0,0,7
155,Female,47,78,16,0,1,-1
156,Female,27,78,89,0,0,7
157,Male,37,78,1,1,1,-1
158,Female,30,78,78,0,0,7
159,Male,34,78,1,1,1,-1
160,Female,30,78,73,0,0,7
161,Female,56,79,35,0,2,-1
162,Female,29,79,83,0,0,7
163,Male,19,81,5,1,1,-1
164,Female,31,81,93,0,0,7
165,Male,50,85,26,1,4,-1
166,Female,36,85,75,0,0,7
167,Male,42,86,20,1,1,-1
168,Female,33,86,95,0,0,7
169,Female,36,87,27,0,1,-1
170,Male,32,87,63,1,0,-1
171,Male,40,87,13,1,1,-1
172,Male,28,87,75,1,0,-1
173,Male,36,87,10,1,1,-1
174,Male,36,87,92,1,0,8
175,Female,52,88,13,0,1,-1
176,Female,30,88,86,0,0,7
177,Male,58,88,15,1,4,-1
178,Male,27,88,69,1,0,-1
179,Male,59,93,14,1,4,-1
180,Male,35,93,90,1,0,-1
181,Female,37,97,32,0,1,-1
182,Female,32,97,86,0,0,7
183,Male,46,98,15,1,1,-1
184,Female,29,98,88,0,0,7
185,Female,41,99,39,0,1,-1
186,Male,30,99,97,1,0,-1
187,Female,54,101,24,0,1,-1
188,Male,28,101,68,1,0,-1
189,Female,41,103,17,0,1,-1
190,Female,36,103,85,0,0,-1
191,Female,34,103,23,0,1,-1
192,Female,32,103,69,0,0,-1
193,Male,33,113,8,1,1,-1
194,Female,38,113,91,0,0,-1
195,Female,47,120,16,0,1,-1
196,Female,35,120,79,0,0,-1
197,Female,45,126,28,0,1,-1
198,Male,32,126,74,1,0,-1
199,Male,32,137,18,1,1,-1
200,Male,30,137,83,1,0,-1
